"","CNS","Crystal cells","Dorsal vessel","Epidermis","Fatbody","Gastric caecum","Germ cells","Glia","Malphigian tubules","Midgut","Muscle","Plasmocytes","PNS","Ring glands","Salivary glands","Trachea"
"rpk",0.119646645097911,0.0124319977497652,0.0163016748891615,0.0036770961944445,0.00289432981347713,0,0.0502840070678386,0,0.00106840460482385,0.00077676466951149,0.000863611629014207,0.0275833266999522,0.00277734199753723,0.0087568675155004,0,0.0050838915300196
"CR44155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karybeta3",0.343095716674475,0.23198576741491,1.21626572999004,0.621800703696073,1.07644919886181,1.26186292052439,1.20316398724224,0.492046797586802,1.08238513670152,0.862878252891828,0.355355064557081,0.565906621524151,0.389937693671839,1.53553786122181,0.0953695985473866,0.339123260595825
"spartin",0.00364951991766524,0.0180789147987809,0.00223249517278731,0.000662127112910455,0.000627908788745443,0,0.00670911748939456,0.00647931984721487,0.000863740303003553,0.00294006031451908,0.000643023093338467,0.0175252918932492,0.00480422455029048,0,0,0.00110309903623919
"CG43427",0.500752016275017,0.0364548106918708,0.825942373346169,0.917484280058139,0.119926638156963,0.270193124508806,0.439472119254333,0.527033656108351,0.266892841042834,0.330523430589178,0.741439437325943,0.405680500179665,1.27230509295729,0.442114115629012,0.239661478923611,3.10150990007101
"CR44156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR44157",0.000673710737451156,0,0.00398730665968767,0.00161547888874202,0,0,0,0,0,0.000808682449331125,0,0,0.00248518955446254,0,0.0701036131402213,0.00767293013046113
"CG33927",0.000388090108592103,0,0,0.00479668021670042,0,0,0,0,0,0,0.00297674684435067,0,0.00572486088540899,0,0,0.00762709224751122
"eIF3f1",3.22442593004085,1.81878082887392,3.48606780929481,2.55012454604543,2.46278630446554,2.10047901023645,3.07822993763274,2.68747990603399,2.57231517396429,2.3911438622621,1.41218588329412,2.90368945877095,2.50878780209969,3.16766233408183,0.85587005044832,2.0691218773915
"CR44923",0,0,0,0.00187379749155708,0.000212069374975672,0,0,0,0,0,0,0,0,0,0,0.0175628677992408
"Nep2",0.0345990489759946,0.00731453984229852,0.0513412807271827,2.20185623678613,0.0120876137362969,0.0458820329864067,0.0667633533521802,0.0578063777657157,0.316268165372015,0.0167718765437384,0.0312175834521101,0.0347424478767532,0.531539721702878,0.135988190769871,0.0390183342467796,4.23042304242441
"tacc",2.16100879226511,0.337241105072227,1.54732194188357,0.71154473185226,0.429162310216767,0.586314424529458,0.649266032033921,2.95754773365839,0.471180815530711,0.593432240894337,1.06400238040564,1.34741572078153,3.96773649997735,0.845105676204503,0.215850550982511,0.585374385231805
"CR46137",0.000766192060094764,0,0,0,0.000548924383847453,0,0,0,0,0.000333677421490374,0.000997056788067304,0,0.00987061267716802,0,0,0.00327912071624891
"mir-9384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"atms",0.321420651196325,0.00879371491613426,0.171178699350572,0.0378573544078672,0.128204802044995,0.134626445179517,0.331873504122986,0.0668914226660524,0.0983772031873807,0.147559851608742,0.0481164554491672,0.110764777724648,0.199156912346135,0.067842272784175,0.0650177293275207,0.0135164833516654
"CG44098",0.192356023748626,0,0.00828403373261084,0.017886107459846,0.0116685678376622,0.00415891721758457,0.00358210452222785,0.0679305471267006,0.0505355650633078,0.00869729688791462,0.0146368200801139,0.00638838846512579,0.0132608529890133,0.0519595032818049,0,0.00532805370971069
"CG44088",0,0,0,0,0,0,0.00433555646216858,0,0,0,0,0,0,0,0,0
"CG14655",0.00394128821519047,0,0.13045442428654,0.0293498242153683,0.00561058242313926,0.113953195166908,0.0253845861062427,0.00426692245444474,0.0108198796064692,0.0615285658515302,0.393586717576002,0.0193712919467036,1.87884495425839,0,0,0.00348903124289697
"CG17387",0.000222769388393996,0,0,0.000312688433867459,0,0,0,0.00213346122722237,0,0,0,0,0.0750800899584019,0.00265003996260264,0,0
