"","fb_tx_id","fb_gene_id","fb_symbol","late.tss","late.tu","PI"
"143","FBtr0073521","FBgn0002723","Met",0.711642485605644,0.651853374695552,0.0597891109100921
"144","FBtr0084982","FBgn0002733","E(spl)mbeta-HLH",4.81710477668391,1.67881982785611,3.1382849488278
"145","FBtr0334686","FBgn0002868","MtnA",1.5953795414929,0.159823973027388,1.43555556846552
"146","FBtr0344822","FBgn0002917","na",2.73763145666193,-0.0487178888753842,2.78634934553732
"147","FBtr0089052","FBgn0002930","nec",3.1044306330573,0.1287713054327,2.9756593276246
"148","FBtr0330637","FBgn0002931","net",3.79339138601485,0.604984360105902,3.18840702590895
"149","FBtr0075039","FBgn0002945","nkd",6.64303279387808,1.41270971481406,5.23032307906402
"150","FBtr0079821","FBgn0002973","numb",5.02857107252288,1.67745195517815,3.35111911734473
"151","FBtr0077557","FBgn0002985","odd",2.4839183900193,4.6521807210091,-2.1682623309898
"152","FBtr0078836","FBgn0003002","opa",2.28590943167674,-0.373040937284172,2.65895036896091
"153","FBtr0301496","FBgn0003016","osp",5.88836717868557,1.78473717210259,4.10363000658298
"154","FBtr0301914","FBgn0003028","ovo",4.55396848072698,-1.58136058269696,6.13532906342395
"155","FBtr0100265","FBgn0003053","peb",4.33302682912181,-1.328262257509,5.66128908663081
"156","FBtr0082860","FBgn0003060","CG9757",-0.0868386228614151,-2.06089538480555,1.97405676194413
"157","FBtr0085859","FBgn0003065","CG2150",1.9582471429285,0.281133636357371,1.67711350657113
"158","FBtr0088422","FBgn0003071","Pfk",1.85671586379294,1.76869477428672,0.0880210895062143
"159","FBtr0088681","FBgn0003074","Pgi",2.57422749468289,1.38258894101527,1.19163855366763
"160","FBtr0075492","FBgn0003076","Pgm",2.74613499007386,0.0415438819815141,2.70459110809235
"161","FBtr0070537","FBgn0003086","Pig1",-0.819925458286396,-1.13845077692126,0.318525318634863
"162","FBtr0089042","FBgn0003090","pk",5.40360698297673,1.86160776486703,3.5419992181097
"163","FBtr0301516","FBgn0003093","Pkc98E",3.02160918190223,1.56465307109687,1.45695611080536
"164","FBtr0089717","FBgn0003118","pnt",4.76957797884152,0.405811459910346,4.36376651893118
"165","FBtr0111026","FBgn0003129","Poxm",1.79060178692768,-1.25322298260848,3.04382476953616
"166","FBtr0084642","FBgn0003134","Pp1alpha-96A",2.62606621034744,0.710315822006942,1.9157503883405
"167","FBtr0300337","FBgn0003137","Ppn",3.48110356645242,-0.893960279154974,4.3750638456074
"168","FBtr0076594","FBgn0003149","Prm",3.7328794040987,1.66369665823797,2.06918274586073
"169","FBtr0343597","FBgn0003159","CG2841",4.3819094677086,0.2087830194386,4.17312644827
"170","FBtr0071580","FBgn0003162","Pu",4.73653350651176,1.82410308621204,2.91243042029972
"171","FBtr0331941","FBgn0003175","px",4.42638673328089,1.38868238303076,3.03770435025013
"172","FBtr0080997","FBgn0003187","qua",2.95463369324854,-0.889282313248306,3.84391600649684
"173","FBtr0089734","FBgn0003189","r",1.39794506845066,-0.115287722897914,1.51323279134857
"174","FBtr0071494","FBgn0003204","ras",6.47075405443226,3.91901721001407,2.55173684441819
"175","FBtr0073212","FBgn0003206","Ras64B",2.89118012119117,1.58203264006099,1.30914748113019
"176","FBtr0079746","FBgn0003209","raw",5.70553983711005,1.96933626323149,3.73620357387855
"177","FBtr0073822","FBgn0003218","rdgB",5.4903911522268,1.26072735982813,4.22966379239867
"178","FBtr0073542","FBgn0003277","RpII215",4.8926095998025,1.87854784122916,3.01406175857334
"179","FBtr0078054","FBgn0003278","RpI135",1.80896998123057,-0.39734247673043,2.206312457961
"180","FBtr0070562","FBgn0003285","rst",4.86942441556754,0.313888478305872,4.55553593726167
"181","FBtr0076146","FBgn0003292","rt",3.93133073537467,0.470774859241,3.46055587613367
"182","FBtr0077279","FBgn0003300","run",2.50484090569211,-1.39788691425103,3.90272781994313
"183","FBtr0073992","FBgn0003301","rut",5.87779449175209,0.988692319750515,4.88910217200158
"184","FBtr0070889","FBgn0003302","rux",1.19037964928575,0.0388608952971849,1.15151875398856
